property_id, location_zip, seating_type, clue_small_area, trading_name, x_coordinate, location_city, location_state, number_of_seats, ogc_fid, industry_anzsic4_description, y_coordinate, census_year, street_address
"107548",null,"Seats - Indoor","Carlton","Books N Bites Cafe","144.9583287",null,null,"60",40222,"Cafes and Restaurants","-37.80169537","2017","222-224 Pelham Street"
"104008",null,"Seats - Indoor","Melbourne (CBD)","Kimchi Tray","144.9643537",null,null,"36",40224,"Cafes and Restaurants","-37.81807489","2017","292-298 Flinders Street"
"108644",null,"Seats - Indoor","Melbourne (Remainder)","In a Rush","144.9793624",null,null,"50",40258,"Cafes and Restaurants","-37.8441033","2017","509-515 St Kilda Road"
"623559",null,"Seats - Indoor","Southbank","Dock 37 Bar & Kitchen","144.9523782",null,null,"500",40271,"Cafes and Restaurants","-37.82539976","2017","2 Convention Centre Place"
"611367",null,"Seats - Indoor","Docklands","Koji Sushi","144.9457644",null,null,"30",40298,"Cafes and Restaurants","-37.82205739","2017","791-847 Collins Street"
"603923",null,"Seats - Outdoor","Melbourne (CBD)","Zoom Organic ","144.9707325",null,null,"8",40336,"Takeaway Food Services","-37.8091842","2017","32-54 Lonsdale Street"
"110542",null,"Seats - Indoor","Southbank","Dumpling Dynasty","144.9523782",null,null,"49",40337,"Cafes and Restaurants","-37.82539976","2017","20-30 Convention Centre Place"
"105746",null,"Seats - Indoor","Melbourne (CBD)","Hungry Jack's","144.9630189",null,null,"30",40340,"Takeaway Food Services","-37.81073331","2017","183-265 La Trobe Street"
"611366",null,"Seats - Indoor","Docklands","Melbourne Vietnam Noodle House","144.9446836",null,null,"60",40349,"Cafes and Restaurants","-37.81993681","2017","813-817 Bourke Street"
"108054",null,"Seats - Indoor","Southbank","Mesh/Tonic Bar","144.9597768",null,null,"350",40365,"Cafes and Restaurants","-37.8238538","2017","40-56 Queens Bridge Street"
"104477",null,"Seats - Outdoor","Carlton","Il Vicolo","144.96788",null,null,"4",40382,"Cafes and Restaurants","-37.80059699","2017","48-50 Grattan Street"
"620308",null,"Seats - Outdoor","Docklands","Gloria Jean's Coffees Harbour Town","144.9378299",null,null,"15",40383,"Cafes and Restaurants","-37.81315031","2017","432-446 Docklands Drive"
"108649",null,"Seats - Indoor","Melbourne (Remainder)","Epicure Kitchen Cafe","144.9802844",null,null,"104",40393,"Cafes and Restaurants","-37.84659007","2017","549-551 St Kilda Road"
"108810",null,"Seats - Indoor","Kensington","Headquarters Tavern","144.9127653",null,null,"100",40398,"Other Gambling Activities","-37.78908156","2017","428-550 Epsom Road"
"109660",null,"Seats - Outdoor","East Melbourne","Basement Espresso","144.9778946",null,null,"9",40405,"Cafes and Restaurants","-37.80895362","2017","180-184 Victoria Parade"
"103102",null,"Seats - Indoor","Carlton","The Shaw Davey Slum","144.9687079",null,null,"300",40409,"Cafes and Restaurants","-37.79750574","2017","171-175 Elgin Street"
"105698",null,"Seats - Indoor","Melbourne (CBD)","Chocolate Bar New York","144.9638386",null,null,"100",40413,"Cafes and Restaurants","-37.81245199","2017","269-321 Lonsdale Street"
"103957",null,"Seats - Outdoor","Melbourne (CBD)","Altius Coffee Brewers","144.9566017",null,null,"4",40419,"Takeaway Food Services","-37.81988484","2017","517-537 Flinders Lane"
"106206",null,"Seats - Indoor","Carlton","DOC Espresso","144.9674735",null,null,"50",40425,"Cafes and Restaurants","-37.79932164","2017","326-328 Lygon Street"
"631646",null,"Seats - Indoor","Docklands","O-Bento","144.9467679",null,null,"16",40427,"Cafes and Restaurants","-37.81384049","2017","990 La Trobe Street"
"110679",null,"Seats - Outdoor","Melbourne (CBD)","South Melbourne Dim Sims","144.9572395",null,null,"49",40448,"Takeaway Food Services","-37.80745984","2017"," Peel Street"
"109418",null,"Seats - Outdoor","Melbourne (CBD)","Starbucks","144.9674304",null,null,"25",40482,"Cafes and Restaurants","-37.81584777","2017","199-209 Collins Street"
"109418",null,"Seats - Indoor","Melbourne (CBD)","Allegro Restaurant","144.9674304",null,null,"75",40508,"Cafes and Restaurants","-37.81584777","2017","199-209 Collins Street"
"110669",null,"Seats - Indoor","Melbourne (CBD)","Causeway 353 Hotel","144.9629844",null,null,"40",40536,"Accommodation","-37.81570426","2017","353-359 Little Collins Street"
"101212",null,"Seats - Indoor","Melbourne (CBD)","Charltons Entertainment Complex / Roxanne Bar","144.9685359",null,null,"50",40552,"Sports and Physical Recreation Venues, Grounds and Facilities Operation","-37.81206119","2017","152-158 Bourke Street"
"106222",null,"Seats - Outdoor","Carlton","University Hotel","144.9672432",null,null,"58",40554,"Pubs, Taverns and Bars","-37.8005263","2017","270-276 Lygon Street"
"109997",null,"Seats - Indoor","East Melbourne","Il Duca Restaurant","144.9855915",null,null,"60",40560,"Cafes and Restaurants","-37.81618515","2017","132-142 Wellington Parade"
"109260",null,"Seats - Indoor","Melbourne (CBD)","Hungry Jack's Pty Ltd","144.9668342",null,null,"277",40570,"Cafes and Restaurants","-37.81709702","2017","15-19 Swanston Street"
"589462",null,"Seats - Indoor","Port Melbourne","Sabre Cafe","144.9063359",null,null,"74",40571,"Cafes and Restaurants","-37.82797655","2017","38-46 Sabre Drive"
"105692",null,"Seats - Indoor","Melbourne (CBD)","Pacific BBQ Cafe ","144.9661427",null,null,"100",40610,"Cafes and Restaurants","-37.81144245","2017","213-215 Lonsdale Street"
"103623",null,"Seats - Indoor","Melbourne (CBD)","Black Velvet Espresso ","144.9711075",null,null,"14",40611,"Takeaway Food Services","-37.81240259","2017","136-144 Exhibition Street"
"108591",null,"Seats - Indoor","Melbourne (CBD)","Izakaya Den","144.9689753",null,null,"52",40623,"Cafes and Restaurants","-37.81350285","2017","114-120 Russell Street"
"105675",null,"Seats - Indoor","Melbourne (CBD)","Seamstress","144.9690111",null,null,"20",40640,"Cafes and Restaurants","-37.81056538","2017","113 Lonsdale Street"
"613252",null,"Seats - Outdoor","Docklands","Heavy D's Cafe & Sanwich Bar","144.9458305",null,null,"14",40650,"Cafes and Restaurants","-37.821044","2017","790-814 Collins Street"
"103613",null,"Seats - Indoor","Melbourne (CBD)","65 Degrees ","144.9687244",null,null,"22",40656,"Cafes and Restaurants","-37.80874125","2017","309 Exhibition Street"
"110988",null,"Seats - Indoor","Southbank","Plus 5","144.9503336",null,null,"80",40679,"Pubs, Taverns and Bars","-37.82409303","2017","29-65 South Wharf Promenade"
"599505",null,"Seats - Indoor","Docklands","Halyard Coffee","144.947217",null,null,"4",40694,"Cafes and Restaurants","-37.81817241","2017","744-770 Bourke Street"
"105936",null,"Seats - Outdoor","Melbourne (CBD)","Dikstein's Corner Bar","144.9603413",null,null,"36",40705,"Cafes and Restaurants","-37.81631094","2017","433 Little Collins Street"
"578325",null,"Seats - Outdoor","Melbourne (CBD)","Taxi Riverside","144.9699175",null,null,"250",40709,"Cafes and Restaurants","-37.81784465","2017","2 Swanston Street"
"110665",null,"Seats - Indoor","Melbourne (CBD)","Billi Green's","144.9589237",null,null,"150",40711,"Cafes and Restaurants","-37.81817724","2017","459 Collins Street"
"101193",null,"Seats - Outdoor","Melbourne (CBD)","Federal Coffee Palace","144.9632879",null,null,"155",40718,"Cafes and Restaurants","-37.81360425","2017","338-352 Bourke Street"
"110343",null,"Seats - Indoor","Southbank","Subway","144.9583432",null,null,"30",40726,"Cafes and Restaurants","-37.82559096","2017","27-45 Whiteman Street"
"108866",null,"Seats - Indoor","West Melbourne (Residential)","Junie Moon's","144.9485541",null,null,"20",40734,"Cafes and Restaurants","-37.80875296","2017","511 Spencer Street"
"102126",null,"Seats - Indoor","Melbourne (CBD)","Subway","144.9603119",null,null,"22",40741,"Cafes and Restaurants","-37.8169991","2017","416-420 Collins Street"
"110606",null,"Seats - Indoor","Southbank","Lindt Chocolate Cafe","144.9662623",null,null,"50",40761,"Cafes and Restaurants","-37.82066923","2017","3 Southgate Avenue"
"101171",null,"Seats - Indoor","Melbourne (CBD)","Hudson's Coffee","144.9553253",null,null,"30",40768,"Cafes and Restaurants","-37.81622847","2017","612-620 Bourke Street"
"105747",null,"Seats - Indoor","Melbourne (CBD)","Sakura Kaiten Sushi II","144.9639969",null,null,"30",40780,"Cafes and Restaurants","-37.81152964","2017","272-282 Lonsdale Street"
"559024",null,"Seats - Indoor","Carlton","NL House","144.9656841",null,null,"12",40793,"Takeaway Food Services","-37.80080712","2017","115 Grattan Street"
"109997",null,"Seats - Outdoor","East Melbourne","Espresso Extraction","144.9855915",null,null,"6",40802,"Takeaway Food Services","-37.81618515","2017","132-142 Wellington Parade"
"108647",null,"Seats - Outdoor","Melbourne (Remainder)","J&K  Cafe","144.9800592",null,null,"30",40809,"Cafes and Restaurants","-37.84607473","2017","541-543 St Kilda Road"
"573925",null,"Seats - Outdoor","Docklands","Cargo Cafe & Bar","144.9414051",null,null,"50",40819,"Cafes and Restaurants","-37.8153411","2017","55 Newquay Promenade"
"620312",null,"Seats - Indoor","Docklands","San Churro","144.9378299",null,null,"64",40822,"Cafes and Restaurants","-37.81315031","2017","23-37 Star Crescent"
"101127",null,"Seats - Indoor","Melbourne (CBD)","Cafe Box","144.9679684",null,null,"4",40853,"Takeaway Food Services","-37.81310923","2017","143-153 Russell Street"
"103918",null,"Seats - Outdoor","Melbourne (CBD)","Cecconi's Flinders Lane","144.9725123",null,null,"12",40856,"Cafes and Restaurants","-37.81506474","2017","61-73 Flinders Lane"
"105669",null,"Seats - Indoor","Melbourne (CBD)","Creole Kitchen Lobby","144.9713867",null,null,"12",40861,"Takeaway Food Services","-37.80988424","2017","23-33 Lonsdale Street"
"101213",null,"Seats - Indoor","Melbourne (CBD)","Shark Fin House","144.9688573",null,null,"380",40864,"Cafes and Restaurants","-37.81199769","2017","134-144 Bourke Street"
"105870",null,"Seats - Indoor","Melbourne (CBD)","Blok M Express","144.9613283",null,null,"50",40880,"Cafes and Restaurants","-37.81354346","2017","380-384 Little Bourke Street"
"109312",null,"Seats - Outdoor","Melbourne (CBD)","Hokuto Japanese Cafe","144.9634198",null,null,"8",40893,"Takeaway Food Services","-37.80945732","2017","377-391 Swanston Street"
"109267",null,"Seats - Outdoor","Melbourne (CBD)","Switchboard Cafe","144.9661258",null,null,"30",40906,"Cafes and Restaurants","-37.81528474","2017","220-226 Collins Street"
"103610",null,"Seats - Outdoor","Melbourne (CBD)","Miss Chu","144.9688284",null,null,"12",40914,"Cafes and Restaurants","-37.80893166","2017","295-301 Exhibition Street"
"110542",null,"Seats - Outdoor","Southbank","Signature Pho Viet","144.9523782",null,null,"20",40925,"Cafes and Restaurants","-37.82539976","2017","20-30 Convention Centre Place"
"110690",null,"Seats - Outdoor","Melbourne (CBD)","Pickett's Deli & Rotisserie","144.9572395",null,null,"42",40926,"Cafes and Restaurants","-37.80745984","2017","507-523 Elizabeth Street"
"111175",null,"Seats - Outdoor","Southbank","Cafe Baci's","144.9586604",null,null,"100",40956,"Cafes and Restaurants","-37.82312164","2017","8 Whiteman Street"
"101142",null,"Seats - Indoor","Melbourne (CBD)","Riva Cafe Bar","144.9645323",null,null,"46",40960,"Cafes and Restaurants","-37.81445406","2017","309-325 Bourke Street"
"103978",null,"Seats - Indoor","Docklands","Man Mo @ Wtc","144.9536422",null,null,"110",40964,"Cafes and Restaurants","-37.82253633","2017","18-38 Siddeley Street"
"108236",null,"Seats - Outdoor","Carlton","Calrton Pizzeria Bar and Restaurant","144.9711231",null,null,"12",40983,"Cafes and Restaurants","-37.79553609","2017","160-162 Rathdowne Street"
"105889",null,"Seats - Indoor","Melbourne (CBD)","Petaling Street Malaysian Hawker Food","144.966942",null,null,"110",40989,"Cafes and Restaurants","-37.81186912","2017","178-190 Little Bourke Street"
"511518",null,"Seats - Outdoor","Melbourne (CBD)","CY Sushi & Noodle","144.9599508",null,null,"14",41008,"Cafes and Restaurants","-37.80794087","2017","471 Elizabeth Street"
"110438",null,"Seats - Outdoor","Southbank","Cafe Clicquot","144.9662961",null,null,"16",41017,"Cafes and Restaurants","-37.83070462","2017","80 Dorcas Street"
"104014",null,"Seats - Outdoor","Melbourne (CBD)","Kim Sing Chinese Restaurant","144.9665517",null,null,"40",41023,"Cafes and Restaurants","-37.81724878","2017","228-236 Flinders Street"
"105299",null,"Seats - Indoor","Melbourne (CBD)","Ibis Styles Kingsgate Hotel ","144.9555039",null,null,"30",41054,"Accommodation","-37.81708323","2017","131-137 King Street"
"500323",null,"Seats - Indoor","Melbourne (CBD)","Wonderbao","144.9626101",null,null,"5",41055,"Takeaway Food Services","-37.80894099","2017","19-37 A'Beckett Street"
