geography_name, rai_cityadjusted_total_2017_q1, rai_cityadjusted_total_2018_q4, rai_cityadjusted_total_2018_q3, rai_cityadjusted_total_2020_q1, rai_cityadjusted_total_2019_q4, rai_cityadjusted_total_2020_q3, rai_cityadjusted_total_2020_q2, rai_cityadjusted_total_2020_q4, city, unique_id, rai_cityadjusted_total_2019_q3, rai_cityadjusted_total_2017_q4, rai_cityadjusted_total_2019_q2, rai_cityadjusted_total_2017_q3, rai_cityadjusted_total_2019_q1, rai_cityadjusted_total_2017_q2, rai_cityadjusted_total_2018_q1, rai_cityadjusted_total_2018_q2, rai_cityadjusted_total_2021_q2, rai_cityadjusted_total_2021_q1
"3015",115.3846,109.3117,110.4746,111.8524,110.7226,121.4575,109.6154,108.8534,"Greater Melbourne",1321,109.6154,112.8763,109.6154,108.1731,108.1731,110.4746,110.4746,109.3117,118.3432,120.1923
"3016",105.9655,103.8462,99.85207,101.028,96.57743,120.1923,109.6154,104.8951,"Greater Melbourne",1322,105.3994,108.1731,109.6154,112.8763,101.81,101.81,103.8462,97.96807,114.2422,110.9467
"3019",148.3516,136.6397,148.3516,137.0192,141.4392,144.2308,130.4945,151.8219,"Greater Melbourne",1324,142.3576,140.3326,144.2308,144.2308,138.4615,140.3326,144.2308,144.2308,160.2564,146.0565
"3022",162.2596,150.5017,148.3516,152.2436,156.5934,160.2564,152.2436,164.8352,"Greater Melbourne",1327,156.5934,153.6186,156.5934,157.3427,149.2042,154.9943,157.3427,150.5017,164.8352,160.2564
"3020",154.9943,148.3516,148.3516,152.2436,152.2436,164.8352,156.5934,163.2308,"Greater Melbourne",1325,152.2436,151.6002,152.2436,152.7149,148.3516,152.7149,152.7149,148.3516,164.8352,164.8352
"3021",157.3427,148.3516,148.3516,156.5934,156.5934,164.8352,156.5934,164.8352,"Greater Melbourne",1326,156.5934,152.7149,156.5934,152.7149,148.3516,152.7149,152.7149,148.3516,164.8352,164.8352
"3023",136.6397,129.8077,133.1361,137.0192,140.5325,147.929,137.0192,146.7998,"Greater Melbourne",1328,137.0192,136.6397,137.0192,133.1361,129.8077,136.6397,133.1361,131.4508,144.2308,144.2308
"3024",157.3427,148.3516,146.2622,156.5934,156.5934,164.8352,156.5934,164.8352,"Greater Melbourne",1329,156.5934,150.5017,156.5934,152.7149,144.2308,148.3516,148.3516,148.3516,164.8352,164.8352
"3025",129.8077,122.1719,115.3846,116.6121,121.7949,128.9214,121.7949,123.406,"Greater Melbourne",1330,124.5629,116.6811,121.7949,122.1719,110.4746,115.3846,119.3634,115.3846,133.3926,134.1682
"3026",null,123.6264,128.2051,130.4945,130.4945,149.8501,131.2759,137.3626,"Greater Melbourne",1331,127.4597,null,130.4945,null,122.1719,null,null,null,137.3626,137.3626
"3029",148.3516,136.6397,136.6397,144.2308,144.2308,151.8219,146.1538,153.8462,"Greater Melbourne",1334,144.2308,140.3326,144.2308,143.2361,136.6397,144.2308,140.3326,136.6397,155.9252,151.8219
"3030",140.3326,131.4508,133.1361,144.2308,144.2308,151.8219,146.1538,151.8219,"Greater Melbourne",1335,140.5325,136.6397,142.3576,136.6397,136.6397,136.6397,136.6397,136.6397,151.8219,153.8462
"3037",146.2622,133.1361,133.1361,142.3576,144.2308,147.929,148.1289,147.929,"Greater Melbourne",1341,142.3576,140.3326,144.2308,140.3326,136.6397,144.2308,136.6397,136.6397,151.8219,151.8219
"3031",115.3846,115.3846,126.6417,115.3846,121.7949,131.1189,128.9593,121.4575,"Greater Melbourne",1336,121.7949,122.1719,121.7949,129.8077,111.6625,123.6264,115.3846,122.1719,151.8219,131.1189
